type,field,qbasic_type,source_file
RcdFmtwhoext,sub,STRING * 20,WHOEXT.inc
RcdFmtwhoext,pcode,STRING * 4,WHOEXT.inc
RcdFmtwhoext,machine(5),STRING * 8,WHOEXT.inc
RcdFmtwhoext,text(13),STRING * 77,WHOEXT.inc
RcdFmtwhoext,filler,STRING * 67,WHOEXT.inc
RcdFmtwho,sno,STRING * 2,WHOF.inc
RcdFmtwho,search,STRING * 4,WHOF.inc
RcdFmtwho,stype,STRING * 1,WHOF.inc
RcdFmtwho,sname,STRING * 35,WHOF.inc
RcdFmtwho,filler1,STRING * 5,WHOF.inc
RcdFmtwho,saddr,STRING * 35,WHOF.inc
RcdFmtwho,filler2,STRING * 5,WHOF.inc
RcdFmtwho,saddr2,STRING * 35,WHOF.inc
RcdFmtwho,filler3,STRING * 5,WHOF.inc
RcdFmtwho,suburb,STRING * 20,WHOF.inc
RcdFmtwho,state,STRING * 20,WHOF.inc
RcdFmtwho,spcode,STRING * 8,WHOF.inc
RcdFmtwho,spbox,STRING * 8,WHOF.inc
RcdFmtwho,spboxsub,STRING * 20,WHOF.inc
RcdFmtwho,spboxpcode,STRING * 8,WHOF.inc
RcdFmtwho,slevel,SINGLE,WHOF.inc
RcdFmtwho,ytd,SINGLE,WHOF.inc
RcdFmtwho,p1,SINGLE,WHOF.inc
RcdFmtwho,email,STRING * 40,WHOF.inc
RcdFmtwho,www,STRING * 40,WHOF.inc
RcdFmtwho,pstnCC,STRING * 3,WHOF.inc
RcdFmtwho,scontTitle,STRING * 3,WHOF.inc
RcdFmtwho,scont,STRING * 40,WHOF.inc
RcdFmtwho,sphone,STRING * 18,WHOF.inc
RcdFmtwho,sphone1,STRING * 18   ' Fax,WHOF.inc
RcdFmtwho,taxe,STRING * 10,WHOF.inc
RcdFmtwho,sgl,STRING * 4,WHOF.inc
RcdFmtwho,rep,STRING * 1,WHOF.inc
RcdFmtwho,callfreq,STRING * 1,WHOF.inc
RcdFmtwho,sdays,STRING * 2,WHOF.inc
RcdFmtwho,sterms,STRING * 4,WHOF.inc
RcdFmtwho,daysmax,STRING * 2,WHOF.inc
RcdFmtwho,scur,STRING * 4,WHOF.inc
RcdFmtwho,s0,STRING * 4,WHOF.inc
RcdFmtwho,s30,STRING * 4,WHOF.inc
RcdFmtwho,s60,STRING * 4,WHOF.inc
RcdFmtwho,s90,STRING * 4,WHOF.inc
RcdFmtwho,opn,STRING * 4,WHOF.inc
RcdFmtwho,opn30,STRING * 4,WHOF.inc
RcdFmtwho,opn60,STRING * 4,WHOF.inc
RcdFmtwho,opn90,STRING * 4,WHOF.inc
RcdFmtwho,account,STRING * 4,WHOF.inc
RcdFmtwho,advalue,STRING * 4,WHOF.inc
RcdFmtwho,climit,STRING * 4,WHOF.inc
RcdFmtwho,spnum,STRING * 2,WHOF.inc
RcdFmtwho,spname,STRING * 30,WHOF.inc
RcdFmtwho,spsub,STRING * 40,WHOF.inc
RcdFmtwho,sdist,STRING * 1,WHOF.inc
RcdFmtwho,sret,STRING * 1,WHOF.inc
RcdFmtwho,countercde,STRING * 1,WHOF.inc
RcdFmtwho,tradecde,STRING * 1,WHOF.inc
RcdFmtwho,contractcde,STRING * 1,WHOF.inc
RcdFmtwho,industrialcde,STRING * 1,WHOF.inc
RcdFmtwho,scont1,STRING * 1,WHOF.inc
RcdFmtwho,scont2,STRING * 1,WHOF.inc
RcdFmtwho,wholesalecde,STRING * 1,WHOF.inc
RcdFmtwho,addocnum,STRING * 8,WHOF.inc
RcdFmtwho,addate,STRING * 8,WHOF.inc
RcdFmtwho,sdate,STRING * 8,WHOF.inc
RcdFmtwho,Active,STRING * 1,WHOF.inc
RcdFmtwho,ContactFirstName(6),STRING * 16,WHOF.inc
RcdFmtwho,ContactSurName(6),STRING * 20,WHOF.inc
RcdFmtwho,ContactTitle(6),STRING * 20,WHOF.inc
RcdFmtwho,ContactPhone(6),STRING * 18 '+61 xxx3 9xxx xxxx,WHOF.inc
RcdFmtwho,ContactMobile(6),STRING * 18'+61 x419 x338 x450,WHOF.inc
RcdFmtwho,ContactFax(6),STRING * 18   '+61 x419 x338 x450,WHOF.inc
RcdFmtwho,Contactemail(6),STRING * 40,WHOF.inc
RcdFmtwho,BO,STRING * 1,WHOF.inc
RcdFmtwho,abn,STRING * 16,WHOF.inc
RcdFmtwho,bankcde,STRING * 3,WHOF.inc
RcdFmtwho,bankacct,STRING * 16,WHOF.inc
RcdFmtwho,p2,SINGLE,WHOF.inc
RcdFmtwho,p3,SINGLE,WHOF.inc
RcdFmtwho,p4,SINGLE,WHOF.inc
RcdFmtwho,p5,SINGLE,WHOF.inc
RcdFmtwho,p6,SINGLE,WHOF.inc
RcdFmtwho,p7,SINGLE,WHOF.inc
RcdFmtwho,p8,SINGLE,WHOF.inc
RcdFmtwho,p9,SINGLE,WHOF.inc
RcdFmtwho,p10,SINGLE,WHOF.inc
RcdFmtwho,p11,SINGLE,WHOF.inc
RcdFmtwho,p12,SINGLE,WHOF.inc
RcdFmtwho,filler5,STRING * 3,WHOF.inc
RcdFmtWHOold,sno,STRING * 2,WHOF.inc
RcdFmtWHOold,search,STRING * 4,WHOF.inc
RcdFmtWHOold,stype,STRING * 1,WHOF.inc
RcdFmtWHOold,sname,STRING * 40,WHOF.inc
RcdFmtWHOold,saddr,STRING * 40,WHOF.inc
RcdFmtWHOold,saddr2,STRING * 40,WHOF.inc
RcdFmtWHOold,suburb,STRING * 20,WHOF.inc
RcdFmtWHOold,state,STRING * 20,WHOF.inc
RcdFmtWHOold,spcode,STRING * 8,WHOF.inc
RcdFmtWHOold,spbox,STRING * 8,WHOF.inc
RcdFmtWHOold,spboxsub,STRING * 40,WHOF.inc
RcdFmtWHOold,email,STRING * 40,WHOF.inc
RcdFmtWHOold,www,STRING * 40,WHOF.inc
RcdFmtWHOold,pstnCC,STRING * 3,WHOF.inc
RcdFmtWHOold,scontTitle,STRING * 3,WHOF.inc
RcdFmtWHOold,scont,STRING * 40,WHOF.inc
RcdFmtWHOold,sphone,STRING * 12,WHOF.inc
RcdFmtWHOold,sphone1,STRING * 12   ' Fax,WHOF.inc
RcdFmtWHOold,mobile,STRING * 12,WHOF.inc
RcdFmtWHOold,ServiceTitle,STRING * 3,WHOF.inc
RcdFmtWHOold,ServiceName,STRING * 30,WHOF.inc
RcdFmtWHOold,Servicephone,STRING * 12,WHOF.inc
RcdFmtWHOold,ServiceFax,STRING * 12,WHOF.inc
RcdFmtWHOold,taxe,STRING * 10,WHOF.inc
RcdFmtWHOold,sgl,STRING * 4,WHOF.inc
RcdFmtWHOold,rep,STRING * 1,WHOF.inc
RcdFmtWHOold,callfreq,STRING * 1,WHOF.inc
RcdFmtWHOold,sdays,STRING * 2,WHOF.inc
RcdFmtWHOold,sterms,STRING * 4,WHOF.inc
RcdFmtWHOold,daysmax,STRING * 2,WHOF.inc
RcdFmtWHOold,scur,STRING * 4,WHOF.inc
RcdFmtWHOold,s0,STRING * 4,WHOF.inc
RcdFmtWHOold,s30,STRING * 4,WHOF.inc
RcdFmtWHOold,s60,STRING * 4,WHOF.inc
RcdFmtWHOold,s90,STRING * 4,WHOF.inc
RcdFmtWHOold,opn,STRING * 4,WHOF.inc
RcdFmtWHOold,opn30,STRING * 4,WHOF.inc
RcdFmtWHOold,opn60,STRING * 4,WHOF.inc
RcdFmtWHOold,opn90,STRING * 4,WHOF.inc
RcdFmtWHOold,account,STRING * 4,WHOF.inc
RcdFmtWHOold,advalue,STRING * 4,WHOF.inc
RcdFmtWHOold,climit,STRING * 4,WHOF.inc
RcdFmtWHOold,spnum,STRING * 2,WHOF.inc
RcdFmtWHOold,spname,STRING * 30,WHOF.inc
RcdFmtWHOold,spsub,STRING * 40,WHOF.inc
RcdFmtWHOold,sdist,STRING * 1,WHOF.inc
RcdFmtWHOold,sret,STRING * 1,WHOF.inc
RcdFmtWHOold,countercde,STRING * 1,WHOF.inc
RcdFmtWHOold,tradecde,STRING * 1,WHOF.inc
RcdFmtWHOold,contractcde,STRING * 1,WHOF.inc
RcdFmtWHOold,industrialcde,STRING * 1,WHOF.inc
RcdFmtWHOold,scont1,STRING * 1,WHOF.inc
RcdFmtWHOold,scont2,STRING * 1,WHOF.inc
RcdFmtWHOold,wholesalecde,STRING * 1,WHOF.inc
RcdFmtWHOold,addocnum,STRING * 8,WHOF.inc
RcdFmtWHOold,addate,STRING * 8,WHOF.inc
RcdFmtWHOold,sunpoz,STRING * 2,WHOF.inc
RcdFmtWHOold,smlpoz,STRING * 4,WHOF.inc
RcdFmtWHOold,sdate,STRING * 8,WHOF.inc
RcdFmtWHOold,Active,STRING * 1,WHOF.inc
RcdFmtWHOold,filler1,STRING * 1,WHOF.inc
RcdFmtWHOold,filler2,STRING * 1,WHOF.inc
RcdFmtWHOold,filler4,STRING * 6,WHOF.inc
RcdFmtWHOold,filler5,STRING * 166,WHOF.inc
RcdFmtWHOnew,sno,STRING * 2,WHOF.inc
RcdFmtWHOnew,search,STRING * 4,WHOF.inc
RcdFmtWHOnew,stype,STRING * 1,WHOF.inc
RcdFmtWHOnew,sname,STRING * 40,WHOF.inc
RcdFmtWHOnew,saddr,STRING * 40,WHOF.inc
RcdFmtWHOnew,saddr2,STRING * 40,WHOF.inc
RcdFmtWHOnew,suburb,STRING * 20,WHOF.inc
RcdFmtWHOnew,state,STRING * 20,WHOF.inc
RcdFmtWHOnew,spcode,STRING * 8,WHOF.inc
RcdFmtWHOnew,spbox,STRING * 8,WHOF.inc
RcdFmtWHOnew,spboxsub,STRING * 40,WHOF.inc
RcdFmtWHOnew,email,STRING * 40,WHOF.inc
RcdFmtWHOnew,www,STRING * 40,WHOF.inc
RcdFmtWHOnew,pstnCC,STRING * 3,WHOF.inc
RcdFmtWHOnew,scontTitle,STRING * 3,WHOF.inc
RcdFmtWHOnew,scont,STRING * 40,WHOF.inc
RcdFmtWHOnew,sphone,STRING * 12,WHOF.inc
RcdFmtWHOnew,sphone1,STRING * 12   ' Fax,WHOF.inc
RcdFmtWHOnew,mobile,STRING * 12,WHOF.inc
RcdFmtWHOnew,ServiceTitle,STRING * 3,WHOF.inc
RcdFmtWHOnew,ServiceName,STRING * 30,WHOF.inc
RcdFmtWHOnew,Servicephone,STRING * 12,WHOF.inc
RcdFmtWHOnew,ServiceFax,STRING * 12,WHOF.inc
RcdFmtWHOnew,taxe,STRING * 10,WHOF.inc
RcdFmtWHOnew,sgl,STRING * 4,WHOF.inc
RcdFmtWHOnew,rep,STRING * 1,WHOF.inc
RcdFmtWHOnew,callfreq,STRING * 1,WHOF.inc
RcdFmtWHOnew,sdays,STRING * 2,WHOF.inc
RcdFmtWHOnew,sterms,STRING * 4,WHOF.inc
RcdFmtWHOnew,daysmax,STRING * 2,WHOF.inc
RcdFmtWHOnew,scur,STRING * 4,WHOF.inc
RcdFmtWHOnew,s0,STRING * 4,WHOF.inc
RcdFmtWHOnew,s30,STRING * 4,WHOF.inc
RcdFmtWHOnew,s60,STRING * 4,WHOF.inc
RcdFmtWHOnew,s90,STRING * 4,WHOF.inc
RcdFmtWHOnew,opn,STRING * 4,WHOF.inc
RcdFmtWHOnew,opn30,STRING * 4,WHOF.inc
RcdFmtWHOnew,opn60,STRING * 4,WHOF.inc
RcdFmtWHOnew,opn90,STRING * 4,WHOF.inc
RcdFmtWHOnew,account,STRING * 4,WHOF.inc
RcdFmtWHOnew,advalue,STRING * 4,WHOF.inc
RcdFmtWHOnew,climit,STRING * 4,WHOF.inc
RcdFmtWHOnew,spnum,STRING * 2,WHOF.inc
RcdFmtWHOnew,spname,STRING * 30,WHOF.inc
RcdFmtWHOnew,spsub,STRING * 40,WHOF.inc
RcdFmtWHOnew,sdist,STRING * 1,WHOF.inc
RcdFmtWHOnew,sret,STRING * 1,WHOF.inc
RcdFmtWHOnew,countercde,STRING * 1,WHOF.inc
RcdFmtWHOnew,tradecde,STRING * 1,WHOF.inc
RcdFmtWHOnew,contractcde,STRING * 1,WHOF.inc
RcdFmtWHOnew,industrialcde,STRING * 1,WHOF.inc
RcdFmtWHOnew,scont1,STRING * 1,WHOF.inc
RcdFmtWHOnew,scont2,STRING * 1,WHOF.inc
RcdFmtWHOnew,wholesalecde,STRING * 1,WHOF.inc
RcdFmtWHOnew,addocnum,STRING * 8,WHOF.inc
RcdFmtWHOnew,addate,STRING * 8,WHOF.inc
RcdFmtWHOnew,sunpoz,STRING * 2,WHOF.inc
RcdFmtWHOnew,smlpoz,STRING * 4,WHOF.inc
RcdFmtWHOnew,sdate,STRING * 8,WHOF.inc
RcdFmtWHOnew,Active,STRING * 1,WHOF.inc
RcdFmtWHOnew,filler1,STRING * 1,WHOF.inc
RcdFmtWHOnew,filler2,STRING * 1,WHOF.inc
RcdFmtWHOnew,filler4,STRING * 6,WHOF.inc
RcdFmtWHOnew,filler5,STRING * 166,WHOF.inc
RcdFmtWHOnew,ContactName(10),STRING * 20,WHOF.inc
RcdFmtWHOnew,ContactTitle(10),STRING * 20,WHOF.inc
RcdFmtWHOnew,ContactPhone(10),STRING * 20,WHOF.inc
RcdFmtWHOnew,ContactMobile(10),STRING * 20,WHOF.inc
RcdFmtWHOnew,Contactemail(10),STRING * 40,WHOF.inc
RcdFmtwhox,wcde,STRING * 5,WHOX.inc
RcdFmtwhox,wrrn,STRING * 2,WHOX.inc
